text,label
"@irishspy Russian Emb denies. RT @RussianEmbassy  13 min
@Marcus_Reynolds This is not true.// I have more time for speculation@jimgeraghty",disagreed
@irishspy @jimgeraghty Or preparing to launch yet another war?,disagreed
“@russian_market: Swiss Rumors:Putin absence due to girlfriendAlina giving birth http://t.co/RzXpRb0Sfl http://t.co/lzT16jrJap” @fancy_work,agreed
@russian_market @L0gg0l You are very engaged in the massive spread of rumors. Keep calm and wait what happend to the Huylo.,disagreed
"@russian_market have you read this? http://t.co/p5s1UG5B9G 
Is Andrei Illarionov a reliable source in your opinion?",disagreed
@MailOnline never !!,disagreed
"@MailOnline that looks like a double to me, dear.",disagreed
@MailOnline Lol coup? That's when you know you people are just making things up. #westernfantasy,disagreed
@euronews @TradeDesk_Steve A French crime of passion or another heathen moslem atrocity?,disagreed
@j0nathandavis They who? Stupid and partial opinions like this one only add noise to any debate.,disagreed
"Sickening ""@Telegraph: 11 confirmed dead, Francois Hollande to visit scene of attack: http://t.co/g1eoeo9iiO http://t.co/spETEzMnQF”",agreed
@ShirazMaher @NickKristof Police have just confirmed the connection on http://t.co/xQEFWPVehi,agreed
@ShirazMaher @DimaV Yes there is a link. It was confirmed officially today.,agreed
@ShirazMaher so what happen to the Charlie hebbdo suspects man news coverage is so shifty in this story,disagreed
@rachelfromohio @ShirazMaher Officials have apparently confirmed that the deli is linked to #CharlieHebdo &amp; killing of officer.,disagreed
@ShirazMaher @NickKristof It is a separate incident but the same #terrorist cell?,disagreed
@ShirazMaher @NickKristof Are moderate #Muslims protesting these acts of murder and violence?,disagreed
@intelwire @ShirazMaher @JeromePio Yes lots of mixed info coming out. Anyone else here about potential 08 prison connection btwn planners?,disagreed
"@cldaymon @intelwire @ShirazMaher Honestly, we need to wait official statement and investigations. By now, we all talk about rumors. :)",disagreed
"@ShirazMaher Thank you, Shiraz. I understand. What do you each think about all this? What is your reaction? @NickKristof",disagreed
"@vanemaya I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see  @NickKristof",disagreed
Terribile “@MashableNews: video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man http://t.co/2wyBH1qbse”,agreed
@juliamacfarlane +1,agreed
@juliamacfarlane @fattysaid Really? Is that confirmed?,disagreed
"@amuse OK. But why precisely an ID, why not Seresta tablets? @juliamacfarlane @dangillmor",disagreed
@AFP give the source please,disagreed
“@AFP: #BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source” source please?,agreed
@SkyNewsBreak wow and you were so sure there was no connection despite having no info. Tell us the news not your view as news. Numpties.,disagreed
@SkyNewsBreak I'd rather wait for official confirmation than your scaremongering speculative social media sourcing news. #givefacts #unnamed,disagreed
@Independent http://t.co/sl61GbuHyv,agreed
"@Independent Just for the sake of good journalism, which one is it? http://t.co/Zk9rA6HylC",disagreed
@andreemurphy @Independent I totally agree with you!,agreed
@andreemurphy @Independent agree A Murphy,agreed
@andreemurphy @Independent totally agree with you,agreed
"Well said, I agree. @andreemurphy @Independent",agreed
“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/f2LHfFFvrb”,agreed
Et merde. “@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/MFpQhJPBfz”,agreed
“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/rYQSyWmQi5” #tragedy,agreed
@galaturco @AFPphoto how do you know that the attackers were muslims?,disagreed
"@KayBurley best news I have heard, Kay you are doing an amazing job thank you",agreed
@KayBurley @PaulineMBarten Killers? No trial? Can you please provide the evidence that these people were involved in #CharlieHebdo,disagreed
@KayBurley you the fastest for breaking news...,agreed
@KayBurley what about the hostage hopefully still alive.,disagreed
@KayBurley Allegedly?,disagreed
"@FoxNews you are apparently not paying attention.  Sky News is showing GIGN Aircraft in the sky, it's safe to say there is a hostage...",disagreed
"@FoxNews #JeSuisCharlie
#UnsucessfulFrancePolice
#DammartinEnGoele 
#CharlieHebdo 
#incompetentFrancePolice
#parisburning 20 Dead,2 injured",agreed
@Slate Who funded/armed/trained gunmen? https://t.co/iPBkLwhQk8 … Jeffrey Epstein also in CFR+Trilateral Commission #JeSuisCharlie,disagreed
Hhmmmm… *ambil lup* “@Slate: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/Ch14vfUpYU,agreed
"“@Slate: Witnesses -Charlie Hebdo gunmen identified themselves as members of al-Qaida:"" If true, terrorist groups' competing and escalating?",agreed
@Slate @jasonCwaite http://t.co/FDMCU0siks,disagreed
"@Slate @zaidbenjamin Identified themselves ? You having a laugh, so how come they didn't get shot too ? :/ #France",disagreed
"@Slate Duh, Ya think?",agreed
RT @Slate: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida http://t.co/1RBdAGXes9 http://t.co/pXb5oZmIs1,agreed
@HuffingtonPost Can you confirm the reports that those suspects were killed by French police?,disagreed
@HuffingtonPost good.,agreed
@HuffingtonPost Some good news!,agreed
@AP easy. Wish granted. Just step outside!!,agreed
RT “@AP: MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/dVHsry8ALE”,agreed
RT @AP: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/HugPOFmqe8,agreed
“@AP: MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/LCSQOl65DG”,agreed
“@AP: MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/EHbYtzi6pG”,agreed
The 144 virgins to line up“@AP: MORE: Official: French terror suspects want to be martyrs;”,agreed
@RT_com they will not die as martys - they will die as the dogs that they are. Only hellfire will await them.,disagreed
"@rt_com: #CharlieHebdo attack suspects tell police,""prepared to die as martyrs""—French media http://t.co/R8Bktsnebv http://t.co/mG06dgBtuQ",agreed
ERTE @RT_com #CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - http://t.co/CyehnPMHWU  http://t.co/pGKXRC0inx,agreed
"“@cnnbrk: At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/eS87lPU9Of”",agreed
@hassanbasmer @Chusid2015 @cnnbrk BS. NO other religion teaches that it's great to kill everyone else for whatever stupid reason islamics do,disagreed
@Chusid2015 @DaliaChai hehe Jews always change subject. If they lose cause of truth. Be serious. How many died under you in israel,disagreed
@hassanbasmer @DaliaChai heh heh Muslims always full of crap. What alternate universe you live in,disagreed
@DaliaChai @Chusid2015 don't make up stories. That is the way of Jews.  Always lying. There is it media . You cannot hide and lie. Killers,disagreed
@Chusid2015 @DaliaChai @cnnbrk hehe u Jews are good by changing subjects.open another topic. We are talking of anti semitsm and anti islam,disagreed
@hassanbasmer @DaliaChai @cnnbrk I dont believe in any of them and certainly not worship them,disagreed
@hassanbasmer @Mariodinava @DaliaChai @cnnbrk yeah i feel really sorry for them,agreed
@DaliaChai @cnnbrk u r not getting my point -monsters must be penalized.  But entire society need to be responsible and not provoke monsters,disagreed
@theprawnatron @cnnbrk stay stupid and wait be the next victim.   such trash like u cannot blame monsters. U deserve be punished by monsters,disagreed
"@theprawnatron @cnnbrk you,baboon,  US media rejected to reprint those pictures finding them insulting.So go and fuck yourself u stupid boy",disagreed
"@zhuravkov67  Hey buddy, I'm still insulting your faith and there's nothing you can do about it. Now go fuck yourself, loser.",disagreed
@BBCBreaking yes!!!!,agreed
@BBCBreaking why aint the reporyers walking accross the grass to get closer instead od tryna get past the police?,disagreed
@BBCBreaking by any chance does that printing business actually print the Charlie Hebdo newspaper?,disagreed
@BBCBreaking https://t.co/rV2w5SDray,agreed
@NickK60 @BBCBreaking well said! The media can help here.,agreed
@NickK60 @BBCBreaking well said.,agreed
